iteration, reward, inf_norm_diff
1, -1298.0719589778614, 17.50747563479757
2, -1303.4001542536694, 6.625593424206798
3, -1211.0550142540021, 9.987680086794576
4, -1176.592802305312, 7.103513624116805
5, -1141.656217926707, 6.6298509879765435
6, -1096.6844779459161, 14.292207476331553
7, -1125.6989173987472, 10.047910462172421
8, -1056.7790210420821, 10.894599247628898
9, -1057.29330058763, 8.027308772383355
10, -1113.4932496598522, 9.73354457745914
11, -1129.4631610038894, 8.25524388139517
12, -1125.5146070857716, 11.536799944104736
13, -1171.8843401493853, 12.159520318786429
14, -1216.0759323710506, 9.2837496445369
15, -1297.3748101317426, 5.081879065222805
16, -1304.9451684110563, 6.9324015287800975
17, -1320.5901017603117, 4.316141632788939
18, -1304.4314062706626, 5.6439238175578454
19, -1326.3870092604577, 4.927863487865998
20, -1285.4274981184703, 8.299312272910134
21, -1264.4241202269066, 13.452401545083916
22, -1303.566037809765, 5.952424641072423
23, -1213.3178025703792, 6.383574136404501
24, -1154.24153335179, 6.732667549752076
25, -1104.9409085572079, 11.647349302980036
26, -1108.8583810500218, 11.827003026499375
27, -1365.256991172204, 9.252326799896203
28, -1288.957581967649, 10.005036917163302
29, -1371.170916227279, 3.2158891872105713
30, -1356.8019445271907, 4.774456024686969
31, -1264.1255569736475, 5.034979942653404
32, -1113.3626028329663, 6.6140256952562515
33, -1030.5818298665915, 4.629056519361994
34, -1110.341708856531, 4.265811600562087
35, -1090.5348288120517, 6.945360543594403
36, -1069.9401518445836, 8.011440484715617
37, -1043.1432189432194, 5.945060093856861
38, -1100.1419762202781, 4.875190095707378
39, -1136.5833290390708, 5.465615811738408
40, -1160.7232162090993, 7.657401638538485
41, -1294.461555931994, 5.87108251918003
42, -1178.6330441173625, 7.729311564423495
43, -1177.4426261974145, 8.24961712827023
44, -1033.8695100134235, 7.682133218418688
45, -1087.6674864021174, 6.712066774912273
46, -1086.4918345699994, 6.402615773320903
47, -1144.9138514248966, 10.264102351029662
48, -1083.0225812643007, 11.513671897297598
49, -1148.3705366945267, 8.048960554475771
50, -1197.6990588510184, 7.853292897061038
51, -1190.3224722575728, 7.80942531316769
52, -1166.8931739340032, 8.180721504223898
53, -1147.412504068047, 8.563723719007397
54, -1114.8161475913635, 9.730032716082416
55, -1114.3222968522161, 8.665475939295975
56, -1090.7534097866665, 13.618576518373537
57, -996.6377051287039, 13.226232707684582
58, -925.7098627832509, 12.726187264180137
59, -736.6978823220777, 13.721116440330139
60, -810.1370902100507, 11.782464467075414
61, -744.1126158899248, 14.847236285004383
62, -719.478354400862, 12.196920733215384
63, -664.806354947721, 13.082234269911977
64, -608.6503919046519, 14.394624858442606
65, -647.8446015366451, 13.71686484463281
66, -579.3227196736084, 14.765804449889153
67, -559.0747678077857, 15.196529448164249
68, -609.4077138681458, 14.600972084559046
69, -640.0039411878612, 15.267327043655726
70, -582.1619063265791, 13.64977793258987
71, -542.3786984556748, 13.340602465133811
72, -476.62658583144446, 14.328193209952367
73, -593.1545172988717, 13.023955923750542
74, -457.74655882481886, 14.108444943183432
75, -382.7745957247074, 12.177429014343616
76, -292.88488604378665, 13.316391131981447
77, -352.43422642959166, 18.703763826360127
78, -207.9828332556809, 12.321544507344697
79, -216.0918462361485, 6.455743899891832
80, -300.39446606597744, 5.585379421845053
81, -235.32872352785702, 6.385776589419813
82, -337.73158210857827, 12.57404716305548
83, -266.06477395089786, 20.704374938531497
84, -208.9149639792844, 7.322069957247165
85, -403.738109775936, 6.697037909190448
86, -285.82557130059473, 10.564445937412195
87, -269.404462044918, 7.989790545892096
88, -242.20247548161234, 6.617278990750863
89, -305.9173534066546, 4.9227789836488824
90, -299.6188851352247, 7.759019852530421
91, -150.41537341863244, 3.534333662664625
92, -268.75752111078907, 6.341099998854062
93, -284.9985051374914, 5.214699722863543
94, -277.9787281623302, 9.44541339401963
95, -283.2794205564389, 8.231714660748253
96, -290.37147502723957, 3.8687851996290052
97, -232.50812331973754, 8.86251640912268
98, -257.98022665582414, 9.025827056029877
99, -231.7793500268011, 2.8540708776259427
100, -209.48073306520263, 6.713012429033075
101, -242.09996858122457, 12.398393431767964
102, -285.9568294830011, 10.62235050463898
103, -196.84317924125844, 9.367843491892923
104, -199.38193477760228, 8.583955012689506
105, -174.99032610664136, 5.489273307382426
106, -264.4210853092667, 7.57180638888175
107, -272.6007887388077, 4.105737826171782
108, -175.45947451028636, 8.43783018321432
109, -215.64927126784832, 4.552871514161476
110, -170.6635562809881, 1.748887325957291
111, -195.88632393638426, 9.299243715937415
112, -263.3899120858181, 9.18465899380336
113, -282.047446491815, 7.970912205614638
114, -234.62584877196545, 7.40904734111708
