iteration, reward, inf_norm_diff
1, -1606.823255851193, 9.546294107679342
2, -1381.268602802468, 9.97580261191479
3, -1243.1548221037888, 9.975760317687987
4, -1340.3277184670844, 9.82064458312509
5, -1385.911771910446, 9.776974068533079
6, -1477.7400395142504, 9.599808758504068
7, -1556.994082603996, 9.801428364149595
8, -1557.520096801848, 9.610827411593291
9, -1586.2984648358251, 9.284573710934396
10, -1579.9581731481755, 9.397230212687115
11, -1543.2030233107373, 9.665455135590417
12, -1498.2540768352042, 9.804058176169953
13, -1537.2963507674501, 9.950472663203117
14, -1539.6720078420226, 10.096881556793841
15, -1564.072134366806, 10.171702642783838
16, -1511.5991323264177, 10.344772500148908
17, -1592.4928354392246, 10.071427818202011
18, -1570.1970900880629, 10.099547104572968
19, -1522.407263184652, 10.094222469766772
20, -1554.8376395152532, 9.872374159799213
21, -1550.9886523863213, 9.925041926860324
22, -1564.388656672399, 9.796192831424682
23, -1612.8052409973982, 10.134268260545262
24, -1586.033397214814, 10.082878873239562
25, -1568.7519165458862, 10.078927120443595
26, -1573.7530056282217, 9.626420188522747
27, -1553.6501864332972, 9.617930906002549
28, -1609.9861087956838, 9.739977925462512
29, -1583.8587610187167, 9.832041624982015
30, -1543.5594564700434, 9.88694334610485
31, -1545.0260778155155, 9.993917659219036
32, -1556.4101567006146, 9.565797700346883
33, -1541.156156408523, 9.787204300035206
34, -1570.782371876198, 9.891154504424183
35, -1511.217325380413, 9.846696504437674
36, -1483.589414532429, 9.917562854143302
37, -1455.7480549568336, 9.933658541786194
38, -1462.8804749185015, 9.743610073537212
39, -1418.8609032795584, 9.832321697633532
40, -1534.643670087507, 9.707268383528083
41, -1429.7534554050176, 9.686434711606775
42, -1448.0985040606615, 9.554645795316409
43, -1430.937506713028, 9.590122953347576
44, -1507.4564852378778, 9.513172022437095
45, -1507.2473579421055, 9.420086151076857
46, -1544.3340203977586, 9.684144313959997
47, -1491.1820242330657, 9.36346789850605
48, -1518.9778870791358, 9.689963047589117
49, -1489.2674771455943, 9.443927389604196
50, -1500.1642964589041, 9.7485567246655
51, -1524.0645483074893, 9.61531045838121
52, -1479.3559048839816, 9.22257182889698
53, -1470.851983359456, 9.366288279948025
54, -1494.8123921670494, 9.508158564772023
55, -1499.8989178788765, 9.513239640002675
56, -1491.7304272739677, 9.498102245394822
57, -1489.5115601410198, 9.36617114924123
58, -1473.2373656351226, 9.458477580025983
59, -1439.2260260285673, 9.47085493533128
60, -1494.888732153115, 9.632257503767322
61, -1505.6695659526238, 9.634868937760203
62, -1443.5226171414208, 9.525193554448242
63, -1424.1278919018723, 9.445926595648922
64, -1224.6494763991936, 9.223710836453433
65, -1452.6124620483713, 9.505301109298134
66, -1396.5553575955005, 9.227495417518389
67, -1529.5039967446655, 9.546881646140157
68, -1395.0121400037863, 9.40973717637192
69, -1247.379010962551, 8.912810610192926
70, -1280.167966268666, 9.15125333605251
71, -1416.3894853760546, 9.397456772744397
72, -1445.6227402869913, 9.413231879373162
73, -1316.703342070309, 8.929145365525292
74, -1362.5650999526638, 9.057871350506733
75, -1288.8328269608296, 8.876245966285389
76, -1374.8317179436756, 9.171136947937317
77, -1300.346088260919, 8.714679273088208
78, -1336.933091692236, 9.10144246026656
79, -1459.3753172826005, 9.48336998527122
80, -1414.215532526518, 9.365428737826171
81, -1401.1912231726656, 9.428196573514949
82, -1373.3308828359927, 9.13294034203432
83, -1426.6515860838613, 9.4605504834957
84, -1376.8744462000445, 9.44739155959201
85, -1413.0997542658338, 9.511212038523665
86, -1468.4099204553775, 9.621281368888768
87, -1412.4433348393031, 9.328668134193329
88, -1401.565701440356, 9.445408528138971
89, -1270.767492298191, 8.932633705422225
90, -1300.5538261925785, 9.131162779009372
91, -1431.5635286279753, 9.366631473661746
92, -1512.4671587740854, 9.633186838168953
93, -1415.9323044322684, 9.256692864956088
94, -1371.681383966067, 9.332271354180078
95, -1424.2293405969046, 9.259571679095059
96, -1329.9048992183498, 9.152058126665521
97, -1246.591392355455, 8.712869371652596
98, -1415.7663537546837, 9.432995475152085
99, -1291.7264143254688, 8.86669884966521
100, -1392.7020467234393, 9.379647136192046
101, -1289.6705077244428, 8.900303333438872
102, -1310.8566701217826, 9.290685368473408
103, -1279.8686008213372, 8.926106426515009
104, -1329.6162623338428, 9.128245642121549
105, -1459.9222438935633, 9.752776426015178
106, -1340.8921208097252, 9.141376120117958
107, -1335.8143417682804, 9.030153409117082
108, -1303.0895130402964, 9.02354688031516
109, -1393.6039730231785, 9.298118301054684
110, -1340.021056583736, 9.088024906082893
111, -1348.7482422055214, 9.327456653027069
112, -1436.916692723688, 9.545131751658516
113, -1364.7432643689444, 9.01902609141247
114, -1339.4411601232184, 9.082947667615302
115, -1248.4103923979014, 8.921452767402597
116, -1315.767055825314, 9.075807651947896
117, -1373.074413010731, 9.105250550640857
118, -1273.3227388559847, 8.843550170131863
119, -1419.1918940563664, 9.349550600404688
120, -1352.6360024735288, 9.054688616035149
121, -1368.5251540809113, 9.189078552794069
122, -1266.1860819132912, 8.909396302609508
123, -1241.666354245514, 8.80538617001262
124, -1373.782230328692, 9.188892611054037
125, -1483.344566821533, 9.585802412414392
126, -1387.4697185422015, 9.339806047084808
127, -1357.4524417312198, 9.124937996628088
128, -1369.662665440774, 8.926971469751173
129, -1363.8339861433683, 9.15683839856185
130, -1255.2021947419257, 8.660983079416248
131, -1227.8513100082005, 8.715843939057093
132, -1305.3848746142562, 9.115753917723948
133, -1344.922551565122, 9.291323035991232
134, -1320.4625019076489, 9.22892677214682
135, -1348.8367694871897, 8.985395612215676
136, -1561.5128110702985, 10.065324871484039
137, -1392.3852921148614, 9.260105346706284
138, -1334.6874842622713, 9.111353566361503
139, -1369.1879227726254, 9.088624904670908
140, -1507.1519157983053, 9.992499323931636
141, -1468.8613063356793, 9.724451614150055
142, -1207.1212409894315, 8.812188620354716
143, -1263.243522386219, 9.01274420175943
144, -1369.3855512854166, 9.56707203859904
145, -1412.7354982108532, 9.397254227180065
146, -1244.3412207682557, 8.873817509403102
147, -1298.9127641946857, 9.074117593412288
148, -1297.8241774655767, 9.040644600761347
149, -1412.110917340217, 9.508162557599706
150, -1308.4929140866404, 8.931621346862121
151, -1288.8332458652003, 8.991870363167534
152, -1394.1101726728918, 9.35564551303708
153, -1335.6243476573773, 9.016940868425783
154, -1267.1934000894553, 9.022996083873913
155, -1338.2765513638894, 9.349499324501481
156, -1294.8514879538036, 8.900040140816465
157, -1204.4622569579801, 8.264282567434082
158, -1276.071637532173, 8.859580856496406
159, -1254.473748675194, 8.75254569223343
160, -1300.728808803413, 9.146736827026592
161, -1273.7555363477788, 8.849072148795107
162, -1459.7766912632705, 9.490382653435088
163, -1326.0883019377611, 9.086194840848988
164, -1401.542377221822, 9.586075937414718
165, -1443.6232719146985, 9.667267684351918
166, -1419.60199873787, 9.600768798280557
167, -1166.602498186869, 8.70652190769833
168, -1516.2603615233888, 10.009046200763423
169, -1459.3976948645784, 9.631724400140893
170, -1292.276848382186, 8.9855499110025
171, -1343.282122674631, 9.257619595314518
172, -1313.7704380291996, 9.19742474124669
173, -1200.9015915891555, 8.258851546198718
174, -1269.5142131827529, 8.838379127427487
175, -1274.0795414800018, 8.978806501987743
