iteration, reward, inf_norm_diff
1, 10.0, 0.8678376037716067
2, 17.3, 0.7779681524250833
3, 21.5, 0.7415607755768727
4, 35.4, 0.7967766397777174
5, 21.6, 1.1550336707190731
6, 14.0, 0.7890603371410893
7, 25.1, 0.7024916688615904
8, 35.1, 0.8874297092926149
9, 53.9, 0.9851077216747778
10, 54.6, 0.9643820378365682
11, 51.7, 1.633267175019681
12, 86.0, 1.8556395001602177
13, 74.0, 1.8398459032906325
14, 69.9, 1.8758297997951214
15, 134.3, 6.756976810934167
16, 316.5, 10.064361738355053
17, 1000.0, 31.121224001897644
18, 1000.0, 31.04033004315599
19, 1000.0, 33.78966736548924
20, 1000.0, 34.62996044286642
21, 1000.0, 34.728662476018734
22, 1000.0, 32.74648902344221
23, 1000.0, 31.65152202482095
24, 1000.0, 6.816372704751586
25, 1000.0, 6.739708026355638
26, 1000.0, 6.7186757669277375
27, 1000.0, 30.87050293708239
28, 1000.0, 31.34713733832648
29, 1000.0, 30.971704661604818
30, 1000.0, 6.8252064912205626
31, 1000.0, 6.837594069362282
32, 1000.0, 6.843405343750415
33, 1000.0, 6.822253752111298
34, 1000.0, 6.801204972936849
35, 1000.0, 6.722072621008284
36, 1000.0, 6.65425438046197
37, 1000.0, 6.490240089695511
38, 1000.0, 5.719928092964327
39, 1000.0, 7.162455329461318
40, 1000.0, 7.835506306182997
41, 1000.0, 20.935057795521644
42, 1000.0, 28.512957815624965
43, 1000.0, 23.117658113158097
44, 1000.0, 24.361528597382673
45, 1000.0, 29.92500943676247
46, 1000.0, 29.034134642245377
47, 1000.0, 24.40035467104796
48, 1000.0, 30.060700243108297
49, 1000.0, 33.10722384959378
50, 1000.0, 32.197027100239474
51, 1000.0, 29.02618042865785
52, 1000.0, 16.960294056830758
53, 1000.0, 27.58536047027429
54, 1000.0, 28.1637427477065
55, 1000.0, 22.1039977503976
56, 1000.0, 27.595391000963463
57, 1000.0, 25.221701626960062
58, 1000.0, 25.996779085142773
59, 1000.0, 22.957784566174077
60, 1000.0, 20.03171357623129
61, 1000.0, 18.673448621508697
62, 1000.0, 15.935676406110993
63, 1000.0, 8.958353323687277
64, 1000.0, 12.452301355233
65, 1000.0, 15.882798340848815
66, 1000.0, 19.234695045245374
67, 1000.0, 21.661592697112795
68, 1000.0, 21.765018401345475
69, 1000.0, 19.868627604924228
70, 1000.0, 11.862032866078323
71, 1000.0, 6.133897065782739
72, 1000.0, 6.083422138555811
73, 1000.0, 6.005836365104702
74, 1000.0, 5.931042873565778
75, 1000.0, 6.447826641992005
76, 1000.0, 7.014376034826637
77, 1000.0, 7.217698598493205
78, 1000.0, 7.2548606353963665
79, 1000.0, 7.249192775317278
80, 1000.0, 7.23703981885161
81, 1000.0, 7.2791292917077275
82, 1000.0, 7.275258279626197
83, 1000.0, 7.2764013449767475
84, 1000.0, 7.2757674273006705
85, 1000.0, 7.2809449583932295
86, 1000.0, 7.293718309251819
87, 1000.0, 7.290440264240996
88, 1000.0, 7.311554599260133
89, 1000.0, 7.289461698833922
90, 1000.0, 7.278312261775643
91, 1000.0, 7.205378351996072
92, 1000.0, 6.99433784626427
93, 1000.0, 5.6227869759818825
94, 1000.0, 3.646505081553485
95, 1000.0, 3.1894776613993283
96, 1000.0, 2.2552830087325653
97, 1000.0, 2.2382317874411455
98, 1000.0, 0.9589119898372891
99, 1000.0, 0.6501928418280812
100, 1000.0, 0.8492754892037951
