iteration, reward, inf_norm_diff
1, 25.5, 0.18138106939607998
2, 23.9, 0.19119735673080696
3, 25.6, 0.17691908411382465
4, 23.2, 0.24170200265773314
5, 13.7, 0.25797997337750256
6, 10.4, 0.2025308135357521
7, 8.5, 0.2219454938251754
8, 8.5, 0.16100246951072428
9, 9.8, 0.13933358601810408
10, 7.8, 0.1663845076400179
11, 9.5, 0.1969409933744086
12, 8.9, 0.1876753656196092
13, 10.0, 0.19922294100862287
14, 9.4, 0.26792765202234164
15, 9.6, 0.27421741042175096
16, 10.0, 0.2814064002362473
17, 10.9, 0.38849886480688395
18, 11.2, 0.3453038036603111
19, 12.6, 0.37837436841675176
20, 13.9, 0.5249097718475938
21, 20.8, 0.6557584788572323
22, 62.1, 0.6602210026275176
23, 98.3, 0.6376407007721172
24, 226.5, 0.7694871062854585
25, 150.8, 0.7828295773256784
26, 60.1, 0.7238415963928427
27, 54.2, 0.8292921080428179
28, 86.9, 1.1069388100230908
29, 160.3, 1.0510731914017517
30, 306.4, 1.0317156326540233
31, 463.2, 1.096321681293442
32, 778.3, 1.2372606164017075
33, 766.9, 1.3361161489033981
34, 1000.0, 1.7642382150153069
35, 1000.0, 1.6480366168473228
36, 1000.0, 1.630524373239262
37, 1000.0, 1.9675065664046851
38, 1000.0, 2.20833646025248
39, 1000.0, 2.293355497423302
40, 1000.0, 2.9051219096518426
41, 1000.0, 3.3539303890047685
42, 1000.0, 3.571355299465993
43, 1000.0, 3.6809549287026786
44, 1000.0, 3.914945063294463
45, 1000.0, 4.308440276109398
46, 1000.0, 4.604125055194109
47, 1000.0, 4.690754583901792
48, 1000.0, 4.848270259807586
49, 1000.0, 5.16147668361565
50, 1000.0, 5.60539169570614
51, 1000.0, 5.682020593796013
52, 1000.0, 5.434813018061988
53, 1000.0, 5.639638995655159
54, 1000.0, 5.805894900467429
55, 1000.0, 5.871630181811062
56, 1000.0, 6.063917455696512
57, 1000.0, 6.060470099210412
58, 1000.0, 6.403076876865247
59, 1000.0, 6.781470408210264
60, 1000.0, 7.038343621790587
61, 1000.0, 6.751769724645566
62, 1000.0, 6.945158399520124
63, 1000.0, 7.499149214986581
64, 1000.0, 6.90103539296875
65, 1000.0, 7.267177875979373
66, 1000.0, 7.263381082037603
67, 1000.0, 7.088066240471628
68, 1000.0, 7.155564433452257
69, 1000.0, 6.967976615777193
70, 1000.0, 6.62386276248651
71, 1000.0, 6.787110749682137
72, 1000.0, 6.13961093699917
73, 1000.0, 6.30900180339578
74, 1000.0, 5.995365128226721
75, 1000.0, 6.306716411194472
76, 1000.0, 5.654420518703518
77, 1000.0, 5.851517381847048
78, 1000.0, 5.674982259942901
79, 1000.0, 5.755040623783242
80, 1000.0, 5.737079777578859
81, 1000.0, 5.977123980639127
82, 1000.0, 6.0653035440770395
83, 1000.0, 6.071507653149677
84, 1000.0, 6.0292536294975525
85, 1000.0, 6.016950354732622
86, 1000.0, 5.943879130044422
87, 1000.0, 5.833698045837198
88, 1000.0, 5.7912614624473475
89, 1000.0, 5.6098930949760915
90, 1000.0, 5.454153531614262
91, 1000.0, 5.23820369139953
92, 1000.0, 5.0697159208090685
93, 1000.0, 5.021751163857463
94, 1000.0, 4.757847059744285
95, 1000.0, 5.0600469976796
96, 1000.0, 4.80381293367751
97, 1000.0, 4.815031149845997
98, 1000.0, 4.910751355830388
99, 1000.0, 4.7781001434137265
100, 1000.0, 4.558576033815965
