iteration, reward, inf_norm_diff
1, 25.6, 0.150328716436133
2, 19.8, 0.1816439234272136
3, 13.9, 0.1959033118871235
4, 12.2, 0.23845235973503376
5, 11.1, 0.20841306220985645
6, 10.7, 0.1956724845525844
7, 12.5, 0.15278753856008614
8, 13.2, 0.16653011725380826
9, 12.3, 0.2484118702497387
10, 19.4, 0.2632274405870893
11, 22.7, 0.2340534602187927
12, 40.5, 0.21899605564286442
13, 54.5, 0.23313580332250142
14, 55.3, 0.27575065303305313
15, 28.8, 0.3733507606939725
16, 25.7, 0.3619077747638715
17, 26.0, 0.49994139253047765
18, 26.5, 0.5261645894101179
19, 32.3, 0.5662477749258918
20, 74.8, 0.6370068145726886
21, 95.1, 0.740450312180608
22, 87.0, 0.8557160818979249
23, 90.9, 0.8699568264959778
24, 162.2, 0.984129939253988
25, 191.2, 0.9751293954684087
26, 228.4, 1.0886630110664959
27, 257.4, 1.105096261590803
28, 507.0, 1.232308661699844
29, 679.3, 1.2921161267930898
30, 725.1, 2.0401293475631905
31, 682.0, 2.2445331781373565
32, 761.2, 2.386596915282477
33, 1000.0, 2.5110949198261854
34, 1000.0, 2.802132804521575
35, 1000.0, 2.9263155374652765
36, 1000.0, 2.9320679362068605
37, 1000.0, 3.3317883294745885
38, 1000.0, 3.650221090275247
39, 1000.0, 3.758034112427078
40, 1000.0, 4.041309759611578
41, 1000.0, 4.264847804850896
42, 1000.0, 4.40716002102687
43, 1000.0, 4.224804472460981
44, 1000.0, 4.633082495835207
45, 1000.0, 4.623034273053458
46, 1000.0, 4.687557358563811
47, 1000.0, 4.784959474743033
48, 1000.0, 4.851137096508435
49, 1000.0, 4.854912245031913
50, 1000.0, 5.033548937568469
51, 1000.0, 4.652415144037024
52, 1000.0, 4.707800853201984
53, 1000.0, 4.802039797167787
54, 1000.0, 4.35846481335578
55, 1000.0, 3.9071223155425394
56, 1000.0, 3.7517607384177922
57, 1000.0, 3.5290685665487356
58, 1000.0, 3.5871082609348344
59, 1000.0, 3.7301958463914833
60, 1000.0, 3.861810586008934
61, 1000.0, 3.9859800757044965
62, 1000.0, 3.783023674882939
63, 1000.0, 3.692193469362017
64, 1000.0, 3.6637078442205273
65, 1000.0, 3.6310065511912075
66, 1000.0, 3.704532931342457
67, 1000.0, 3.8334182184308725
68, 1000.0, 3.9731870294792415
69, 1000.0, 4.186642053086852
70, 1000.0, 4.299892006296922
71, 1000.0, 4.155184823377755
72, 1000.0, 4.25219400519834
73, 1000.0, 4.198186222704682
74, 1000.0, 4.169798123973401
75, 1000.0, 4.031359984250501
76, 1000.0, 4.12987126655901
77, 1000.0, 4.0330530445862705
78, 1000.0, 4.120056945477859
79, 1000.0, 4.105601153067574
80, 1000.0, 3.9988308633316088
81, 1000.0, 3.9230380875439956
82, 1000.0, 3.8920829517611177
83, 1000.0, 3.928141159488641
84, 1000.0, 3.812645651057455
85, 1000.0, 3.789609560257293
86, 1000.0, 3.8911827144162845
87, 1000.0, 3.749395659126355
88, 1000.0, 3.612067189364322
89, 1000.0, 3.6610459493067715
90, 1000.0, 3.604474469004182
91, 1000.0, 3.641550023080583
92, 1000.0, 3.6879757796126498
93, 1000.0, 3.678907946658963
94, 1000.0, 3.720895550301745
95, 1000.0, 3.714933708312947
96, 1000.0, 3.7458592624407157
97, 1000.0, 3.7522454145034083
98, 1000.0, 3.834837180923527
99, 1000.0, 3.9071214256470634
100, 1000.0, 3.8856091763088005
