iteration, reward, inf_norm_diff
1, -500.0, 13.013791897701836
2, -225.1, 12.125650558143818
3, -188.3, 14.493917218952461
4, -84.7, 14.80927785579005
5, -76.7, 13.637180934920918
6, -92.4, 11.693156480658054
7, -84.4, 6.205498998485227
8, -80.3, 4.567435574584889
9, -82.7, 2.6251160133048557
10, -77.1, 3.6444758348085657
11, -78.8, 3.4928470023719393
12, -86.0, 2.499439780139112
13, -77.8, 3.7135310960009593
14, -94.7, 1.7874274222896656
15, -78.8, 3.2376297102989904
16, -78.2, 2.9268430036686093
17, -79.3, 4.476832115663902
18, -99.9, 2.164267007537714
19, -75.5, 4.84791059291496
20, -84.1, 0.841679767317568
21, -80.1, 1.295853393579021
22, -79.6, 1.6714705594698729
23, -85.0, 2.116025304553427
24, -81.0, 2.3376455429712193
25, -82.2, 2.457529912680421
26, -92.6, 2.2616522497545986
27, -78.6, 1.8822607881722666
28, -79.8, 1.553519969253478
29, -90.5, 1.9746140599285813
30, -94.6, 8.863679150493308
31, -81.5, 3.098935021056089
32, -89.7, 11.866325271779049
33, -90.6, 5.688862622735964
34, -75.3, 9.585164919043342
35, -82.6, 6.641836849116692
36, -75.6, 4.997661706562062
37, -83.1, 3.2472998582909187
38, -82.1, 3.2227914322744597
39, -80.5, 2.5929035415117747
40, -85.8, 1.1341144685647213
41, -79.9, 0.8822189409529332
42, -98.7, 0.7323964236745356
43, -77.9, 1.6641370645936382
44, -85.5, 1.0927436658135758
45, -80.9, 0.7483467538857094
46, -88.6, 1.159998631674232
47, -80.5, 1.3700974929871907
48, -82.0, 0.8847083736443683
49, -78.2, 1.6930863408167056
50, -81.7, 1.110757682160816
51, -84.2, 0.70744494259274
52, -80.0, 0.7475279377790665
53, -81.2, 0.6549382198110316
54, -87.5, 0.9764085108847846
55, -81.2, 0.2682211620956575
56, -80.6, 1.0510756774972116
57, -91.6, 0.8251721684824794
58, -80.2, 1.6912748506303819
59, -88.2, 1.1566270401102337
60, -89.0, 1.0080193349490294
61, -79.6, 1.0566902735936732
62, -81.3, 0.6067526483797492
63, -79.0, 0.34109339152279494
64, -76.8, 0.5611686113838891
65, -78.1, 0.5131140075145386
66, -89.1, 1.3781623992258512
67, -81.1, 0.4157766819964831
68, -83.1, 0.33957714433565106
69, -84.9, 0.43675657760287784
70, -81.0, 0.6621470200685827
71, -74.7, 0.7621937286300899
72, -83.9, 0.7295505222752993
73, -91.7, 0.7483638942706192
74, -86.0, 0.3120782026967388
75, -80.2, 0.3973123071111222
76, -89.5, 0.49711971335765215
77, -77.0, 0.6737352671896223
78, -82.4, 0.7245697002154511
79, -77.2, 0.3395842997971923
80, -75.3, 0.40092235472772986
81, -82.9, 0.8956507619826921
82, -84.5, 0.7501627752047124
83, -78.0, 0.2629775748967395
84, -79.1, 0.609101314217684
85, -74.6, 1.4920874570978988
86, -79.9, 1.1757564768591
87, -75.6, 1.247317123608068
88, -80.5, 0.2885080922522714
89, -77.9, 0.4869535318491071
90, -78.6, 0.31720357847370617
91, -103.9, 0.6147955223283579
92, -77.9, 0.6801355702784551
93, -79.3, 0.7856407953769211
94, -78.1, 0.6167028101501212
95, -80.7, 0.7966232481653788
96, -77.7, 0.426253418092431
97, -77.2, 0.8662781915356922
98, -82.2, 0.6877692638076875
99, -98.7, 0.9623680570620157
100, -77.0, 0.5109911807208208
101, -78.4, 0.529141248033724
102, -76.7, 0.3865437136269536
103, -87.8, 0.6446588802780697
104, -81.1, 0.946926624027062
105, -82.3, 0.7583352356771473
106, -79.0, 0.8463828984018887
107, -78.1, 0.6750434457487859
108, -96.8, 1.730923930882054
109, -87.4, 0.933825774690609
110, -73.2, 0.30598814867480556
111, -85.4, 0.8021993813671924
112, -79.7, 0.9358449246264675
113, -81.5, 0.6700936315050803
114, -81.4, 0.6839200731329338
115, -79.6, 1.3744223268305644
116, -76.5, 1.2945845370649804
117, -79.7, 0.8526416157315149
118, -82.7, 0.6239614626569359
119, -80.6, 0.9120382036922664
120, -84.5, 0.5188726283198339
121, -86.9, 0.6245753368566405
122, -77.0, 0.47203639756615073
123, -119.1, 1.5415369043790674
124, -79.5, 1.0559924014980206
125, -80.0, 0.8208514750184451
126, -83.0, 0.9462162643040255
127, -84.1, 0.7880363501191273
128, -82.3, 0.46569848985277673
129, -75.1, 1.7874395225170525
130, -76.9, 0.6305557816993668
131, -77.6, 0.9909235548244247
132, -75.9, 0.4009352291138951
133, -76.9, 0.6559510693723021
134, -79.7, 0.7588788211369983
135, -75.4, 1.2362517793241043
136, -78.7, 0.6850975970181774
137, -79.1, 0.5623706343845011
138, -78.1, 0.7036996290376094
139, -80.0, 0.4628680465465731
140, -84.2, 1.5378644913931987
141, -87.7, 0.5330274301945254
142, -75.9, 0.6946629305967917
143, -90.6, 0.7449708391816339
144, -82.1, 0.7893067830422298
145, -97.4, 0.8005144443555863
146, -87.4, 0.7314570253167733
